u/u_b,y/H
-0.07272727272727361, -0.9999999999999993
-0.1272727272727278, -0.9818181818181808
-0.17727272727272816, -0.9727272727272713
-0.17727272727272722, -0.9409090909090897
-0.17272727272727353, -0.9181818181818182
-0.1590909090909095, -0.8772727272727259
-0.10909090909090947, -0.809090909090908
-0.10454545454545465, -0.7409090909090901
-0.10000000000000016, -0.6681818181818178
-0.08181818181818247, -0.6090909090909091
-0.045454545454546025, -0.40909090909090895
-0.01818181818181846, -0.2000000000000001
-8.349864527998672e-19, -0.004545454545454587
0.01363636363636292, 0.2022727272727271
0.03181818181818178, 0.40227272727272667
0.04999999999999955, 0.6045454545454536
0.05454545454545448, 0.672727272727272
0.0727272727272722, 0.7409090909090907
0.08636363636363609, 0.8045454545454531
0.09090909090909066, 0.8727272727272727
0.09090909090909054, 0.9136363636363626
0.10909090909090893, 0.9363636363636362
0.18636363636363595, 0.9636363636363634
0.2954545454545448, 0.977272727272726
0.4863636363636363, 0.9909090909090903
