y/H,U/Ub,u2/Ub2,V/Ub,v2/Ub2,uv/Ub2
1.02,-0.5574,0.02272,-0.009,0.007857,-0.000695
1.04,-0.5529,0.025381,0.0116,0.017652,-0.003598
1.06,-0.5382,0.03086,0.0203,0.024678,-0.006706
1.08,-0.5168,0.036544,0.0327,0.030629,-0.009201
1.1,-0.479,0.048752,0.0389,0.038818,-0.014008
1.11,-0.4141,0.074746,0.0472,0.045983,-0.02093
1.12,-0.3923,0.107793,0.0212,0.061532,-0.036893
1.16,0.0344,0.271283,0.0082,0.085928,-0.07466
1.18,0.3314,0.284696,0.0041,0.079997,-0.076664
1.2,0.6769,0.216335,0.0193,0.061607,-0.05957
1.24,1.0969,0.10786,0.1089,0.032222,-0.02476
1.28,1.3039,0.038997,0.2102,0.017585,-0.009087
1.34,1.369,0.011334,0.2861,0.01127,-0.002633
1.4,1.3466,0.004116,0.26,0.006321,-0.000485
1.46,1.3204,0.002477,0.2187,0.003554,-0.000071
1.52,1.2812,0.002403,0.1837,0.002714,0.000117
1.58,1.2485,0.002615,0.1559,0.002339,0.000381
1.64,1.2155,0.003106,0.1325,0.002339,0.000617
1.7,1.1812,0.003639,0.1108,0.002482,0.000896
1.76,1.1428,0.004155,0.0907,0.002584,0.001101
1.82,1.1067,0.004945,0.0732,0.002783,0.001443
1.88,1.0593,0.005688,0.0534,0.002788,0.001669
1.94,0.989,0.006622,0.0341,0.002358,0.001766
1.98,0.8631,0.013375,0.0184,0.000652,0.001764
